Energy Demands by Economic Sector/Demande d'énergie par secteur économique ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Economic Sector (English) / Secteur économique (anglais),Economic Sector (French) / Secteur économique (français),Fuel (English) / Carburant (anglais),Fuel (French) / Carburant (français),Units (English) / Unités (anglais),Units (French) / Unités (français),2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Cement,Ciment,Coal/Coke,Charbon/Coke,Petajoules,Pétajoules,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Cement,Ciment,Electric (Net Energy Demands),Électricité (Demandes nettes d'énergie),Petajoules,Pétajoules,9.03,8.26,8.38,8.31,6.77,6.92,x,7.96,7.81,7.82,7.92,7.43,7.53,7.44,7.55,7.28,7.42,7.71,7.81,7.9,7.99,8.03,8.09,8.16,8.23,8.28
Cement,Ciment,Electric (Gross Energy Demands),Électricité (Demandes brutes d'énergie),Petajoules,Pétajoules,9.03,8.26,8.38,8.31,6.77,6.92,x,7.96,7.81,7.82,7.92,7.43,7.53,7.44,7.55,7.28,7.42,7.71,7.81,7.9,7.99,8.03,8.09,8.16,8.23,8.28
Cement,Ciment,Liquefied Petroleum Gas and Natural Gas Liquids,Gaz de pétrole liquéfié et gaz naturel liquéfié,Petajoules,Pétajoules,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Cement,Ciment,Natural Gas,Gaz Naturel,Petajoules,Pétajoules,2.1,2.65,2.58,2.24,2.02,1.89,2.16,7.93,8.49,9.02,8.54,10.26,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Cement,Ciment,Refined Petroleum Products,Produits Pétroliers Raffinés,Petajoules,Pétajoules,26.43,29.38,26.5,25.33,23.63,x,x,x,x,16.65,20.82,21.63,22.19,24.04,26.29,28.9,29.95,30.14,29.9,29.54,29.21,28.76,28.36,28.01,27.66,27.53
Cement,Ciment,Renewables,Énergie renouvelable,Petajoules,Pétajoules,4.01,4.03,4.97,5.1,4.22,x,x,x,x,4.59,4.84,4.33,4.45,4.42,4.29,6.72,6.66,6.71,6.65,6.64,6.64,6.55,6.46,6.36,6.27,6.16
Chemicals & Fertilizers,Produits chimiques et engrais,Coal/Coke,Charbon/Coke,Petajoules,Pétajoules,x,x,x,x,x,x,x,x,3.59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chemicals & Fertilizers,Produits chimiques et engrais,Electric (Net Energy Demands),Électricité (Demandes nettes d'énergie),Petajoules,Pétajoules,63.26,68.32,67.31,65.21,53.8,53.68,60.4,51.32,48.53,49.08,48.25,55.69,52.08,57.42,55.8,51.95,52.23,53.18,54.91,55.68,56.96,58.36,59.81,60.98,61.84,62.61
Chemicals & Fertilizers,Produits chimiques et engrais,Electric (Gross Energy Demands),Électricité (Demandes brutes d'énergie),Petajoules,Pétajoules,81.4,85.69,83.71,80.32,69.28,68.97,73.59,68.36,63.68,72.48,76.73,76.82,69.07,75.78,72.76,68.91,69.19,73.14,75.62,76.74,78.46,80.24,82.01,83.86,85.48,86.96
Chemicals & Fertilizers,Produits chimiques et engrais,Liquefied Petroleum Gas and Natural Gas Liquids,Gaz de pétrole liquéfié et gaz naturel liquéfié,Petajoules,Pétajoules,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Chemicals & Fertilizers,Produits chimiques et engrais,Natural Gas,Gaz Naturel,Petajoules,Pétajoules,313.08,322.27,310.76,326.75,308,333.21,359.41,371.84,380.96,413.76,415.8,370.96,341.79,338.87,345.44,330.84,328.57,338.36,341.01,341.48,344.66,346.09,348.6,351.67,354.95,357.75
Chemicals & Fertilizers,Produits chimiques et engrais,Refined Petroleum Products,Produits Pétroliers Raffinés,Petajoules,Pétajoules,57.99,97.06,103.49,117.92,x,x,x,x,128.57,128.21,x,133.14,62.63,42.73,36.67,32.87,31.99,33.71,34.47,34.85,35.76,36.67,37.95,38.94,39.96,40.99
Chemicals & Fertilizers,Produits chimiques et engrais,Renewables,Énergie renouvelable,Petajoules,Pétajoules,0.44,0.52,0.2,0.21,0.51,0.01,0.01,0.01,0.04,0.02,0.02,0.02,0.01,0.06,0.13,0.12,0.32,0.38,0.43,0.63,0.82,0.8,0.79,0.77,0.75,0.73
Chemicals & Fertilizers,Produits chimiques et engrais,Steam (Net Energy Demands),Vapeur (Demandes nettes d'énergie),Petajoules,Pétajoules,4.76,4.67,4.42,5.09,1.56,-1.53,-4.42,5.8,9.89,7.09,2.34,4.59,3.99,9.13,4.03,3.96,3.89,4.13,4.33,4.46,4.69,4.94,5.26,5.55,5.83,6.1
Chemicals & Fertilizers,Produits chimiques et engrais,Steam (Gross Energy Demands),Vapeur (Demandes brutes d'énergie),Petajoules,Pétajoules,9.17,9.55,9.23,8.61,11.22,10.01,9.84,12.04,13.67,12.93,10.77,11.13,11.05,13.96,10.38,9.83,9.69,10.04,10.23,10.31,10.54,10.76,11.09,11.37,11.65,11.93
Iron & Steel,Sidérurgie,Coal/Coke,Charbon/Coke,Petajoules,Pétajoules,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Iron & Steel,Sidérurgie,Coke Oven Gas,Gaz de Cokerie,Petajoules,Pétajoules,x,x,x,x,x,22.29,26.35,26.47,24.59,22.98,23.22,22.03,22.06,24.96,23.97,16.94,20.25,24.42,25.31,25.91,25.53,25.02,24.55,24.09,23.58,23.32
Iron & Steel,Sidérurgie,Electric (Net Energy Demands),Électricité (Demandes nettes d'énergie),Petajoules,Pétajoules,37.96,41.46,x,x,27.21,31.33,x,32.54,x,33.18,31.21,x,30.38,29.68,27.9,18.28,22.69,28.99,31.35,32.59,38.42,43.44,48.92,54.65,60.25,65.33
Iron & Steel,Sidérurgie,Electric (Gross Energy Demands),Électricité (Demandes brutes d'énergie),Petajoules,Pétajoules,39.27,42.87,x,x,28.2,32.28,x,33.48,x,34.09,32.09,x,31.32,30.52,29.35,19.78,24.18,30.65,33.11,34.67,41.54,47.44,53.88,60.6,67.17,73.12
Iron & Steel,Sidérurgie,Liquefied Petroleum Gas and Natural Gas Liquids,Gaz de pétrole liquéfié et gaz naturel liquéfié,Petajoules,Pétajoules,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Iron & Steel,Sidérurgie,Natural Gas,Gaz Naturel,Petajoules,Pétajoules,77.83,74.04,81.87,77.81,59.95,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Iron & Steel,Sidérurgie,Refined Petroleum Products,Produits Pétroliers Raffinés,Petajoules,Pétajoules,8.69,11.46,14.77,14.29,8,3.7,x,x,x,2.72,3.16,2.73,3.59,3.92,3.5,2.47,3.01,3.66,3.79,3.84,3.9,3.95,4,4.07,4.13,4.19
Iron & Steel,Sidérurgie,Renewables,Énergie renouvelable,Petajoules,Pétajoules,1.32,1.53,1.4,1.59,1.42,0.84,1.05,0.87,0.87,0.89,0.86,0.98,1,0.87,0.87,0.89,1.16,1.53,1.77,2.17,2.57,2.65,2.75,2.86,2.97,3.06
Iron & Steel,Sidérurgie,Steam (Net Energy Demands),Vapeur (Demandes nettes d'énergie),Petajoules,Pétajoules,-0.94,-0.77,x,x,-,-,x,-0.15,x,-0.15,-0.32,x,-0.1,-0.13,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Lime & Gypsum,Chaux et gypse,Coal/Coke,Charbon/Coke,Petajoules,Pétajoules,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Lime & Gypsum,Chaux et gypse,Electric (Net Energy Demands),Électricité (Demandes nettes d'énergie),Petajoules,Pétajoules,1.35,1.38,1.36,1.32,0.98,1.02,1.14,1.19,1.01,1.03,0.91,0.92,0.99,0.98,0.97,0.95,0.94,0.97,0.98,0.99,1,1.02,1.03,1.03,1.04,1.05
Lime & Gypsum,Chaux et gypse,Electric (Gross Energy Demands),Électricité (Demandes brutes d'énergie),Petajoules,Pétajoules,1.35,1.38,1.36,1.32,0.98,1.02,1.14,1.19,1.01,1.03,0.91,0.92,0.99,0.98,0.97,0.95,0.94,0.97,0.98,0.99,1,1.02,1.03,1.03,1.04,1.05
Lime & Gypsum,Chaux et gypse,Liquefied Petroleum Gas and Natural Gas Liquids,Gaz de pétrole liquéfié et gaz naturel liquéfié,Petajoules,Pétajoules,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Lime & Gypsum,Chaux et gypse,Natural Gas,Gaz Naturel,Petajoules,Pétajoules,10.72,10.04,9.69,9.64,5.53,5.96,6.58,7.51,7.98,8.06,8.24,9.47,9.75,10.57,10.61,10.41,9.49,9.61,9.51,9.52,9.53,9.54,9.53,9.49,9.46,9.45
Lime & Gypsum,Chaux et gypse,Refined Petroleum Products,Produits Pétroliers Raffinés,Petajoules,Pétajoules,7.11,8.21,8.07,6.72,5.62,4.87,5.24,5.04,4.62,4.09,4.53,4.41,4.53,4.12,4.03,4.24,4.46,4.48,4.42,4.4,4.38,4.37,4.34,4.32,4.3,4.27
Lime & Gypsum,Chaux et gypse,Renewables,Énergie renouvelable,Petajoules,Pétajoules,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.03,0.03,0.04,0.07,0.1,0.1,0.1,0.1,0.1,0.1
Mining,Exploitation minière,Coal/Coke,Charbon/Coke,Petajoules,Pétajoules,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Mining,Exploitation minière,Electric (Net Energy Demands),Électricité (Demandes nettes d'énergie),Petajoules,Pétajoules,41.54,42.36,47.66,49.62,41.57,44.84,46.93,51.6,52.86,52.49,51.71,48.59,55.37,53.96,58.29,52.39,52.2,53.19,55.46,58.43,60.93,62.74,63.95,65.06,66.15,67.32
Mining,Exploitation minière,Electric (Gross Energy Demands),Électricité (Demandes brutes d'énergie),Petajoules,Pétajoules,43.69,44.29,49.95,53.82,46.19,48.56,51.09,55.92,58.99,59.77,57.35,54.49,60.53,58.39,61.68,57.73,58.1,59.33,61.62,64.56,67.04,68.86,70.12,71.32,72.48,73.76
Mining,Exploitation minière,Liquefied Petroleum Gas and Natural Gas Liquids,Gaz de pétrole liquéfié et gaz naturel liquéfié,Petajoules,Pétajoules,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Mining,Exploitation minière,Natural Gas,Gaz Naturel,Petajoules,Pétajoules,29.78,35.06,47.13,57.67,39,46.65,62.89,63.39,57.37,57.19,56.32,54.2,61.44,75.35,72.13,70.86,72.21,72.35,72.45,72.56,72.8,73.33,74.02,74.74,75.54,76.58
Mining,Exploitation minière,Refined Petroleum Products,Produits Pétroliers Raffinés,Petajoules,Pétajoules,55.51,54.93,57.38,64.27,66.52,65.72,60.54,58.2,58.94,60.52,61.13,57.02,61.26,59.28,58.48,60.69,61.56,62.57,64.32,65.97,67.25,67.77,68.06,68.32,68.59,68.88
Mining,Exploitation minière,Renewables,Énergie renouvelable,Petajoules,Pétajoules,0.39,0.26,0.36,0.23,0.22,0.35,0.92,0.92,1.01,0.99,1.07,0.91,0.94,0.83,0.79,0.8,1.06,1.25,1.44,1.57,1.68,1.75,1.79,1.82,1.85,1.88
Pulp and Paper Mills,Pâtes et papiers,Coal/Coke,Charbon/Coke,Petajoules,Pétajoules,x,x,x,x,x,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pulp and Paper Mills,Pâtes et papiers,Electric (Net Energy Demands),Électricité (Demandes nettes d'énergie),Petajoules,Pétajoules,176.6,163.48,170.47,148.69,132.57,122.79,x,96.18,105.42,104.22,115,105.25,114.99,103.19,102.19,84.21,86.3,96.21,98.23,103.35,109.62,110.14,110.76,111.46,112.17,112.94
Pulp and Paper Mills,Pâtes et papiers,Electric (Gross Energy Demands),Électricité (Demandes brutes d'énergie),Petajoules,Pétajoules,216.01,201.36,195.48,174.4,155,150.7,x,130.9,139.79,144.93,147.44,141.71,146.87,145.3,142.51,125.43,128.53,139.82,142.82,149.08,155.73,156.22,156.77,157.45,158.13,158.86
Pulp and Paper Mills,Pâtes et papiers,Liquefied Petroleum Gas and Natural Gas Liquids,Gaz de pétrole liquéfié et gaz naturel liquéfié,Petajoules,Pétajoules,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Pulp and Paper Mills,Pâtes et papiers,Natural Gas,Gaz Naturel,Petajoules,Pétajoules,93.79,87.45,91.31,87.22,96.34,99.1,x,101.73,105.51,105.82,106.41,113.14,120.46,139.47,149.71,141.54,142.35,147.83,148.8,150.5,152.15,149.04,145.13,141.83,138.35,135.83
Pulp and Paper Mills,Pâtes et papiers,Refined Petroleum Products,Produits Pétroliers Raffinés,Petajoules,Pétajoules,51.6,40.59,41.78,25.83,20.85,18.82,x,19.17,17.91,15.23,12.47,9.87,9.6,8.33,7.81,8.22,8.18,8.66,8.88,9.1,8.37,8.34,8.34,8.34,8.37,8.42
Pulp and Paper Mills,Pâtes et papiers,Renewables,Énergie renouvelable,Petajoules,Pétajoules,508.15,475,454.7,400.79,383.15,393.21,x,386.57,418.05,400.85,406.11,365.82,359.82,378.84,372.38,355.81,361.89,383.11,384.67,398.9,413.77,412.37,409.78,408.47,406.89,404.71
Pulp and Paper Mills,Pâtes et papiers,Steam (Net Energy Demands),Vapeur (Demandes nettes d'énergie),Petajoules,Pétajoules,13.17,11.37,8.96,9.67,2.18,0.56,x,0.51,-0.01,1.62,1.44,-2,1.36,-0.52,0.47,2.85,3.01,4.12,4.82,5.43,6.03,6.39,6.99,7.45,7.95,8.5
Pulp and Paper Mills,Pâtes et papiers,Steam (Gross Energy Demands),Vapeur (Demandes brutes d'énergie),Petajoules,Pétajoules,19.46,18.02,14.67,13.89,4.8,1.44,x,1.72,1.59,1.97,1.85,1.81,4.24,5.02,4.96,4.32,4.45,5.5,6.24,6.87,7.5,7.84,8.4,8.85,9.32,9.84
Smelting and Refining,Fonte et raffinage,Coal/Coke,Charbon/Coke,Petajoules,Pétajoules,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Smelting and Refining,Fonte et raffinage,Electric (Net Energy Demands),Électricité (Demandes nettes d'énergie),Petajoules,Pétajoules,105.88,107.53,110.43,105.55,91.01,109.26,102.25,88.71,84.98,86.84,73.47,117.19,114.64,111.29,126.98,121.34,126.42,128.77,131.91,135.08,137.5,142.64,147.29,152.32,157.39,162.69
Smelting and Refining,Fonte et raffinage,Electric (Gross Energy Demands),Électricité (Demandes brutes d'énergie),Petajoules,Pétajoules,204.81,212.08,203.87,210.81,192.39,195.69,201.15,190.93,183.74,185.14,184.27,213.18,216.55,211.53,225.67,216.67,221.74,224.09,228.56,233.6,237.4,246.14,254.1,262.75,271.58,280.75
Smelting and Refining,Fonte et raffinage,Liquefied Petroleum Gas and Natural Gas Liquids,Gaz de pétrole liquéfié et gaz naturel liquéfié,Petajoules,Pétajoules,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Smelting and Refining,Fonte et raffinage,Natural Gas,Gaz Naturel,Petajoules,Pétajoules,31.86,31.43,30.61,30.47,29.02,28.97,36.19,29,34.77,41.2,36.65,38.49,44.94,40.61,37.65,35.2,35.69,35.88,35.62,35.06,34.46,34.05,33.62,33.12,32.58,32.38
Smelting and Refining,Fonte et raffinage,Refined Petroleum Products,Produits Pétroliers Raffinés,Petajoules,Pétajoules,70.72,70.6,73.64,69.77,56.46,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Smelting and Refining,Fonte et raffinage,Renewables,Énergie renouvelable,Petajoules,Pétajoules,98.87,104.49,95.4,107.56,103.1,87.91,98.56,102.19,98.81,100.33,112.82,97.64,103.63,102.14,100.12,96.64,96.98,97.05,99.16,102.33,104.74,110.25,115.31,120.81,126.55,132.45
Smelting and Refining,Fonte et raffinage,Steam (Net Energy Demands),Vapeur (Demandes nettes d'énergie),Petajoules,Pétajoules,-0.45,-0.29,-0.04,-3.02,-11.78,-0.01,0,0,-5.17,-15.07,-3.96,-0.01,-0.02,-0.02,-0.09,-0.09,-0.09,-0.09,-0.09,-0.08,-0.08,-0.08,-0.09,-0.09,-0.09,-0.09


Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electric and Steam values in some tables are reported as gross and net energy demands for electricity, and gross and net sales for steam. Please be advised that summing all the columns to produce total values will include double-counting of some energy demands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""x"" indicates content suppressed in order to meet the confidentiality requirements of the Statistics Act.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""0"" Indicates data truncated due to rounding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-: no data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les valeurs d'électricité et de vapeur dans certains tableaux sont rapportées à la fois en demandes électriques nettes et en demandes électriques brutes. Veuillez noter que la somme de toutes les colonnes pour produire des valeurs totales inclut le double comptage de certaines demandes d'énergie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""x"" indique que le contenu a été supprimé afin de respecter les exigences de confidentialité de la Loi sur la statistique.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""0"" Indique que les données ont été tronquées, parce qu’elles ont été arrondies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-: aucune données.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
