Year,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Yukon,Northwest Territories,Nunavut
2018,"37,058.90",525.4,153.2,959.9,770.6,"8,390.50","14,322.80","1,352.20","1,162.10","4,307.10","4,991.70",40.5,44.5,38.4
2019,"37,466.80",523.9,155.3,963.5,773.1,"8,443.20","14,501.10","1,367.00","1,178.20","4,389.00","5,048.00",40.9,44.8,38.9
2020,"37,873.70",522.3,157.4,967.1,775.6,"8,494.50","14,677.90","1,381.90","1,195.10","4,472.80","5,103.50",41.3,45.1,39.3
2021,"38,284.60",520.6,159.5,970.6,778.1,"8,545.30","14,856.20","1,397.00","1,212.90","4,558.40","5,159.10",41.8,45.3,39.8
2022,"38,694.30",518.9,161.6,974.1,780.6,"8,595.00","15,033.70","1,412.10","1,231.10","4,644.90","5,214.10",42.2,45.6,40.2
2023,"39,102.60",517.2,163.7,977.5,783.1,"8,643.80","15,210.60","1,427.30","1,249.50","4,732.10","5,268.60",42.6,45.9,40.7
2024,"39,509.10",515.3,165.8,980.8,785.5,"8,691.60","15,386.60","1,442.50","1,268.20","4,820.00","5,322.50",43.1,46.1,41.2
2025,"39,913.50",513.4,167.8,983.9,787.7,"8,738.50","15,561.60","1,457.80","1,287.00","4,908.50","5,375.80",43.5,46.4,41.6
2026,"40,315.20",511.3,169.9,986.8,789.8,"8,784.50","15,735.30","1,473.10","1,305.80","4,997.60","5,428.50",43.9,46.6,42.1
2027,"40,713.90",509.2,171.9,989.5,791.8,"8,829.50","15,907.50","1,488.50","1,324.60","5,087.30","5,480.60",44.3,46.8,42.5
2028,"41,109.20",506.9,173.8,992,793.6,"8,873.60","16,077.80","1,503.90","1,343.30","5,177.70","5,532.00",44.6,47,43
2029,"41,500.70",504.5,175.8,994.2,795.2,"8,916.70","16,245.90","1,519.30","1,361.90","5,268.70","5,582.80",45,47.2,43.4
2030,"41,888.10",502,177.6,996.1,796.6,"8,958.90","16,411.60","1,534.80","1,380.40","5,360.50","5,632.90",45.4,47.4,43.9
2031,"42,271.00",499.3,179.5,997.8,797.8,"9,000.30","16,574.50","1,550.30","1,398.60","5,453.00","5,682.30",45.7,47.6,44.4
2032,"42,649.30",496.5,181.2,999.1,798.7,"9,040.80","16,734.50","1,565.90","1,416.60","5,546.20","5,731.00",46,47.8,44.9
2033,"43,022.80",493.6,183,"1,000.10",799.5,"9,080.70","16,891.40","1,581.50","1,434.30","5,640.10","5,779.00",46.4,47.9,45.4
2034,"43,391.50",490.6,184.7,"1,000.80",800,"9,120.10","17,044.90","1,597.10","1,451.70","5,734.70","5,826.30",46.7,48.1,45.9
2035,"43,755.50",487.4,186.3,"1,001.20",800.3,"9,159.10","17,195.10","1,612.80","1,468.80","5,830.00","5,872.90",47,48.2,46.4
2036,"44,114.70",484.2,187.9,"1,001.30",800.3,"9,197.80","17,341.70","1,628.60","1,485.60","5,926.10","5,918.80",47.3,48.3,46.8
2037,"44,469.40",480.8,189.4,"1,001.10",800.1,"9,236.50","17,484.80","1,644.50","1,501.90","6,022.90","5,964.10",47.6,48.4,47.3
2038,"44,819.50",477.3,190.9,"1,000.60",799.7,"9,275.20","17,624.20","1,660.40","1,517.90","6,120.50","6,008.80",47.8,48.5,47.8
2039,"45,165.30",473.7,192.3,999.8,799,"9,314.00","17,759.90","1,676.40","1,533.50","6,218.80","6,052.90",48.1,48.5,48.3
2040,"45,506.80",470.1,193.6,998.7,798.1,"9,353.10","17,892.00","1,692.50","1,548.70","6,317.80","6,096.40",48.3,48.6,48.8
2041,"45,843.90",466.3,194.9,997.4,797,"9,392.50","18,020.20","1,708.70","1,563.40","6,417.60","6,139.50",48.6,48.6,49.3
2042,"46,176.90",462.5,196.2,995.7,795.6,"9,432.20","18,144.60","1,725.00","1,577.50","6,518.10","6,182.10",48.8,48.6,49.8
2043,"46,505.60",458.6,197.4,993.8,794,"9,472.40","18,265.20","1,741.40","1,591.20","6,619.20","6,224.40",49.1,48.6,50.3
2044,"46,831.80",..,..,..,..,..,..,..,..,..,..,..,..,..
2045,"47,156.20",..,..,..,..,..,..,..,..,..,..,..,..,..
2046,"47,479.10",..,..,..,..,..,..,..,..,..,..,..,..,..
2047,"47,800.80",..,..,..,..,..,..,..,..,..,..,..,..,..
2048,"48,121.70",..,..,..,..,..,..,..,..,..,..,..,..,..
2049,"48,442.30",..,..,..,..,..,..,..,..,..,..,..,..,..
2050,"48,763.10",..,..,..,..,..,..,..,..,..,..,..,..,..
2051,"49,084.70",..,..,..,..,..,..,..,..,..,..,..,..,..
2052,"49,407.90",..,..,..,..,..,..,..,..,..,..,..,..,..
2053,"49,733.20",..,..,..,..,..,..,..,..,..,..,..,..,..
2054,"50,061.40",..,..,..,..,..,..,..,..,..,..,..,..,..
2055,"50,393.20",..,..,..,..,..,..,..,..,..,..,..,..,..
2056,"50,729.20",..,..,..,..,..,..,..,..,..,..,..,..,..
2057,"51,070.00",..,..,..,..,..,..,..,..,..,..,..,..,..
2058,"51,416.00",..,..,..,..,..,..,..,..,..,..,..,..,..
2059,"51,767.60",..,..,..,..,..,..,..,..,..,..,..,..,..
2060,"52,125.00",..,..,..,..,..,..,..,..,..,..,..,..,..
2061,"52,488.20",..,..,..,..,..,..,..,..,..,..,..,..,..
2062,"52,857.20",..,..,..,..,..,..,..,..,..,..,..,..,..
2063,"53,231.90",..,..,..,..,..,..,..,..,..,..,..,..,..
2064,"53,611.90",..,..,..,..,..,..,..,..,..,..,..,..,..
2065,"53,997.00",..,..,..,..,..,..,..,..,..,..,..,..,..
2066,"54,386.70",..,..,..,..,..,..,..,..,..,..,..,..,..
2067,"54,780.60",..,..,..,..,..,..,..,..,..,..,..,..,..
2068,"55,178.30",..,..,..,..,..,..,..,..,..,..,..,..,..
